Year,Neonatal mortality rate,Post-neonatal mortality rate
1981,69.9000015258789,40.5
1982,66.69999694824219,38.099998474121094
1983,67.19999694824219,37.70000076293945
1984,65.80000305175781,38.20000076293945
1985,60.099998474121094,37.099998474121094
1986,59.79999923706055,36.599998474121094
1987,57.70000076293945,37.70000076293945
1988,56.79999923706055,37.70000076293945
1989,56.400001525878906,34.5
1990,52.5,27.200000762939453
1991,51.099998474121094,29.299999237060547
1992,50,29.399999618530273
1993,47.099998474121094,25.5
1994,47.70000076293945,26
1995,48.099998474121094,25.899999618530273
1996,47,25
1997,46.099998474121094,25.100000381469727
1998,45.099998474121094,26.5
1999,44.79999923706055,23.899999618530273
2000,44.400001525878906,23.399999618530273
2001,40.400001525878906,25.799999237060547
2002,39.599998474121094,23.799999237060547
2003,37.099998474121094,23.399999618530273
2004,37.400001525878906,20.899999618530273
2005,36.70000076293945,21.700000762939453
2006,37,20
2007,36.29999923706055,19.100000381469727
2008,35.099998474121094,18.399999618530273
2009,34.20000076293945,16.200000762939453
2010,32.599998474121094,14.399999618530273
2011,30.600000381469727,13.699999809265137
2012,28.899999618530273,13.300000190734863
2013,28,12.899999618530273
2014,26,13
2015,25,12
2016,24,11
2017,23,10
2018,23,9
2019,22,8
2020,20,8
2021,19,8
2022,19,7
2023,19,7
