ID,VARIANT_,RSC_,LC_,IAC_3,TYPE_,YEAR_
1,Estimates,World,900,,World,1950.0
2,Estimates,World,900,,World,1951.0
3,Estimates,World,900,,World,1952.0
4,Estimates,World,900,,World,1953.0
5,Estimates,World,900,,World,1954.0
6,Estimates,World,900,,World,1955.0
7,Estimates,World,900,,World,1956.0
8,Estimates,World,900,,World,1957.0
9,Estimates,World,900,,World,1958.0
10,Estimates,World,900,,World,1959.0
11,Estimates,World,900,,World,1960.0
12,Estimates,World,900,,World,1961.0
13,Estimates,World,900,,World,1962.0
14,Estimates,World,900,,World,1963.0
15,Estimates,World,900,,World,1964.0
16,Estimates,World,900,,World,1965.0
17,Estimates,World,900,,World,1966.0
18,Estimates,World,900,,World,1967.0
19,Estimates,World,900,,World,1968.0
20,Estimates,World,900,,World,1969.0
21,Estimates,World,900,,World,1970.0
22,Estimates,World,900,,World,1971.0
23,Estimates,World,900,,World,1972.0
24,Estimates,World,900,,World,1973.0
25,Estimates,World,900,,World,1974.0
26,Estimates,World,900,,World,1975.0
27,Estimates,World,900,,World,1976.0
28,Estimates,World,900,,World,1977.0
29,Estimates,World,900,,World,1978.0
30,Estimates,World,900,,World,1979.0
31,Estimates,World,900,,World,1980.0
32,Estimates,World,900,,World,1981.0
33,Estimates,World,900,,World,1982.0
34,Estimates,World,900,,World,1983.0
35,Estimates,World,900,,World,1984.0
36,Estimates,World,900,,World,1985.0
37,Estimates,World,900,,World,1986.0
38,Estimates,World,900,,World,1987.0
39,Estimates,World,900,,World,1988.0
40,Estimates,World,900,,World,1989.0
41,Estimates,World,900,,World,1990.0
42,Estimates,World,900,,World,1991.0
43,Estimates,World,900,,World,1992.0
44,Estimates,World,900,,World,1993.0
45,Estimates,World,900,,World,1994.0
46,Estimates,World,900,,World,1995.0
47,Estimates,World,900,,World,1996.0
48,Estimates,World,900,,World,1997.0
49,Estimates,World,900,,World,1998.0
50,Estimates,World,900,,World,1999.0
51,Estimates,World,900,,World,2000.0
