ID,BIRTHS_,BWA_15_19,CBR_,TFR_,NRR_,MAC_,SRB_
1,91824,10492,36.8,4.85,1.63,28.9,105
2,92507,10574,36.5,4.82,1.64,28.9,105
3,97371,11034,37.7,5.0,1.73,28.9,105
4,97291,11045,36.9,4.92,1.71,28.9,105
5,100188,11302,37.3,5.0,1.76,28.9,105
6,101748,11422,37.1,5.0,1.78,28.8,105
7,101759,11426,36.4,4.93,1.77,28.8,105
8,106018,11792,37.2,5.07,1.83,28.8,105
9,104644,11674,35.9,4.93,1.8,28.7,105
10,102000,11502,34.4,4.74,1.67,28.7,105
11,102378,11593,34.0,4.7,1.61,28.6,105
12,100951,11577,32.9,4.57,1.63,28.6,105
13,112039,12488,35.9,5.02,1.87,28.7,105
14,119803,13270,37.5,5.31,1.99,28.8,105
15,117292,13275,35.9,5.12,1.94,28.8,105
16,117837,13689,35.3,5.07,1.92,28.8,105
17,117233,13972,34.4,4.96,1.89,28.8,105
18,116920,14088,33.7,4.85,1.86,28.7,105
19,121826,14857,34.4,4.96,1.92,28.8,105
20,122228,15151,33.8,4.87,1.89,28.7,106
21,124136,15551,33.6,4.83,1.88,28.7,106
22,123740,15865,32.8,4.68,1.82,28.6,106
23,123554,16099,32.1,4.55,1.79,28.5,106
24,123564,16365,31.5,4.42,1.75,28.4,106
25,122709,16478,30.7,4.26,1.69,28.3,106
26,121030,16366,29.7,4.08,1.63,28.2,106
27,121322,16456,29.3,3.97,1.59,28.1,106
28,120787,16124,28.6,3.85,1.55,28.0,106
29,122141,16234,28.5,3.79,1.53,27.9,106
30,125000,16759,28.6,3.77,1.54,27.9,106
31,127447,17138,28.7,3.74,1.53,27.8,106
32,129716,17708,28.6,3.71,1.53,27.7,106
33,133207,18437,28.9,3.71,1.53,27.7,106
34,131968,18601,28.1,3.58,1.48,27.6,106
35,134365,18821,28.1,3.55,1.48,27.5,106
36,136374,18949,28.0,3.52,1.47,27.5,106
37,139301,19003,28.1,3.5,1.47,27.4,106
38,141347,18729,28.0,3.48,1.46,27.4,106
39,140986,19076,27.4,3.39,1.43,27.3,107
40,142249,19262,27.2,3.35,1.41,27.3,107
41,143461,18938,26.9,3.31,1.4,27.2,107
42,138307,18948,25.5,3.13,1.32,27.1,107
43,136591,18783,24.8,3.04,1.29,27.1,107
44,135632,18608,24.3,2.98,1.27,27.1,107
45,135143,18540,23.8,2.93,1.25,27.1,107
46,134850,18677,23.4,2.89,1.23,27.0,107
47,134321,18421,23.0,2.85,1.21,27.0,107
48,133986,18348,22.6,2.81,1.2,27.1,107
49,133858,18511,22.3,2.78,1.19,27.1,107
50,134059,18560,22.0,2.75,1.18,27.1,107
51,135758,18663,22.0,2.75,1.19,27.1,108
52,135380,18680,21.6,2.71,1.17,27.2,107
53,135396,18357,21.4,2.68,1.17,27.2,107
54,135701,18057,21.1,2.66,1.16,27.2,107
55,136596,17324,21.0,2.65,1.16,27.3,107
56,137166,16349,20.8,2.63,1.15,27.4,107
57,138469,16056,20.8,2.63,1.16,27.5,107
58,139936,15971,20.7,2.62,1.16,27.5,107
59,141759,16253,20.7,2.63,1.16,27.6,107
60,142968,15853,20.6,2.62,1.16,27.6,107
61,143354,15530,20.4,2.6,1.16,27.6,107
62,143879,15399,20.2,2.59,1.16,27.7,107
63,146055,15352,20.3,2.61,1.17,27.7,107
64,145015,15017,19.9,2.57,1.16,27.7,107
65,145268,14458,19.7,2.56,1.16,27.8,107
66,144334,13526,19.3,2.54,1.15,28.0,107
67,144854,13015,19.2,2.54,1.15,28.1,107
68,143602,12788,18.8,2.5,1.14,28.2,107
69,140333,12564,18.2,2.44,1.11,28.2,106
70,138597,12391,17.7,2.4,1.09,28.2,106
71,134720,12178,17.1,2.32,1.06,28.2,106
72,133449,12111,16.8,2.29,1.05,28.2,106
73,132475,12089,16.5,2.27,1.04,28.2,106
74,132110,12151,16.3,2.25,1.04,28.2,106
75,22293,2091,41.0,5.81,1.92,29.9,106
76,22145,2079,40.0,5.7,1.9,29.9,106
77,25496,2402,45.1,6.47,2.19,29.9,106
78,24139,2234,41.8,6.04,2.06,29.9,106
79,25439,2281,43.1,6.28,2.18,29.9,106
80,25728,2214,42.6,6.26,2.2,29.9,106
81,24364,2004,39.5,5.85,2.08,29.9,106
82,27068,2143,42.9,6.43,2.3,29.9,106
83,24285,1865,37.7,5.7,2.06,29.9,106
84,20311,1535,31.1,4.72,1.44,29.9,106
85,19311,1442,29.5,4.45,1.14,29.9,106
86,16879,1256,25.7,3.86,1.17,29.9,106
87,26826,2010,40.3,6.09,2.28,30.0,106
88,33461,2596,48.9,7.51,2.84,30.1,106
89,30072,2354,42.7,6.67,2.55,30.2,106
90,30064,2346,41.6,6.61,2.54,30.3,106
91,29209,2206,39.3,6.31,2.45,30.3,106
92,27472,1923,36.1,5.81,2.27,30.2,106
93,31650,2323,40.5,6.51,2.57,30.3,106
94,30911,2213,38.5,6.18,2.46,30.2,106
95,31462,2211,38.2,6.09,2.45,30.2,106
96,29671,1987,35.2,5.52,2.24,30.0,106
97,28597,1757,33.1,5.11,2.1,29.9,106
98,27637,1575,31.3,4.73,1.96,29.7,106
99,25594,1388,28.4,4.17,1.74,29.5,107
100,23100,1170,25.2,3.57,1.51,29.2,107
101,22013,1043,23.7,3.24,1.37,29.0,107
102,20324,821,21.5,2.84,1.22,28.7,107
103,20249,633,21.2,2.72,1.17,28.4,107
104,21151,575,21.8,2.75,1.19,28.2,107
105,21674,623,22.0,2.74,1.2,27.9,107
106,22490,933,22.5,2.79,1.22,27.5,107
107,24353,1478,24.0,2.97,1.31,27.3,108
108,21682,1564,21.1,2.56,1.13,26.8,108
109,22910,1679,21.9,2.61,1.15,26.7,108
110,24136,1750,22.8,2.63,1.16,26.5,109
111,26045,1814,24.2,2.72,1.2,26.5,109
112,27557,1931,25.1,2.76,1.22,26.4,110
113,26442,1864,23.7,2.54,1.12,26.2,110
114,27234,1729,24.0,2.52,1.11,26.1,111
115,28079,1394,24.3,2.51,1.1,26.1,112
116,22645,1071,19.3,1.93,0.85,25.4,113
117,21067,864,17.8,1.78,0.78,25.5,113
118,20203,682,16.9,1.69,0.74,25.6,114
119,19529,422,16.2,1.63,0.71,25.8,115
120,19003,408,15.6,1.59,0.69,25.8,115
121,18307,345,14.9,1.55,0.68,25.8,116
122,17677,310,14.2,1.53,0.67,26.0,116
123,17187,232,13.7,1.52,0.67,26.1,117
124,16863,311,13.4,1.53,0.67,26.2,117
125,17551,331,13.8,1.63,0.71,26.3,117
126,16586,322,13.0,1.56,0.69,26.5,117
