,,"SRS, 2009"," SRS, 2010","SRS, 2011","SRS, 2012"
India,,50,47,44,42
1,Bihar,52,48,44,43
2,Chhattisgarh,54,51,48,47
3,Himachal Pradesh,45,40,38,36
4,Jammu & Kashmir,45,43,41,39
5,Jharkhand,44,42,39,38
6,Madhya Pradesh,67,62,59,56
7,Odisha,65,61,57,53
8,Rajasthan,59,55,52,49
9,Uttar Pradesh,63,61,57,53
10,Uttarakhand,41,38,36,34
11,Arunachal Pradesh,32,31,32,33
12,Assam,61,58,55,55
13,Manipur,16,14,11,10
14,Meghalaya,59,55,52,49
15,Mizoram,36,37,34,35
16,Nagaland,26,23,21,18
17,Sikkim,34,30,26,24
18,Tripura,31,27,29,28
19,Andhra Pradesh,49,46,43,41
20,Goa,11,10,11,10
21,Gujarat,48,44,41,38
22,Haryana,51,48,44,42
23,Karnataka,41,38,35,32
24,Kerala,12,13,12,12
25,Maharashtra,31,28,25,25
26,Punjab,38,34,30,28
27,Tamil Nadu,28,24,22,21
28,West Bengal,33,31,32,32
29,A & N Islands,27,25,23,24
30,Chandigarh,25,22,20,20
31,D & N Haveli,37,38,35,33
32,Daman & Diu,24,23,22,22
33,Delhi,33,30,28,25
34,Lakshadweep,25,25,24,24
35,Pondicherry,22,22,19,17
,,,,,
