"Region, subregion, country or area *",Total Fertility Rate (live births per woman),Parent code,Year
"China, Macao SAR",0.66,906,2023
"China, Hong Kong SAR",0.72,906,2023
Republic of Korea,0.72,906,2023
Saint Barthélemy,0.8,915,2023
"China, Taiwan Province of China",0.87,906,2023
Puerto Rico,0.94,915,2023
Singapore,0.94,920,2023
Ukraine,0.98,923,2023
China,1.0,906,2023
Holy See,1.0,925,2023
British Virgin Islands,1.05,915,2023
Curaçao,1.07,915,2023
Andorra,1.08,925,2023
Malta,1.1,925,2023
San Marino,1.15,925,2023
Chile,1.17,931,2023
United Arab Emirates,1.2,922,2023
Italy,1.2,925,2023
Lithuania,1.2,924,2023
Japan,1.21,906,2023
Thailand,1.21,920,2023
Spain,1.21,925,2023
Belarus,1.21,923,2023
Mauritius,1.24,910,2023
Saint Pierre and Miquelon,1.27,905,2023
Finland,1.28,924,2023
Poland,1.3,923,2023
Austria,1.32,926,2023
Greece,1.33,925,2023
Costa Rica,1.33,916,2023
Latvia,1.34,924,2023
Estonia,1.35,924,2023
Albania,1.35,925,2023
Canada,1.35,905,2023
Jamaica,1.36,915,2023
Anguilla,1.36,915,2023
Guernsey,1.36,924,2023
Jersey,1.37,924,2023
Bahamas,1.37,915,2023
Saint Lucia,1.38,915,2023
Belgium,1.38,926,2023
Cyprus,1.39,922,2023
Luxembourg,1.4,926,2023
Bermuda,1.4,905,2023
Wallis and Futuna Islands,1.41,957,2023
Norway,1.41,924,2023
Uruguay,1.41,931,2023
Netherlands,1.43,926,2023
Sweden,1.43,924,2023
Switzerland,1.43,926,2023
Germany,1.44,926,2023
Montserrat,1.44,915,2023
Cuba,1.44,915,2023
Czechia,1.45,923,2023
Sint Maarten (Dutch part),1.45,915,2023
Russian Federation,1.45,923,2023
Bhutan,1.46,5501,2023
Turks and Caicos Islands,1.46,915,2023
"Bonaire, Sint Eustatius and Saba",1.47,915,2023
North Macedonia,1.47,925,2023
Croatia,1.47,925,2023
Dominica,1.48,915,2023
Grenada,1.49,915,2023
Hungary,1.49,923,2023
Bosnia and Herzegovina,1.49,925,2023
French Polynesia,1.5,957,2023
Serbia,1.5,925,2023
Argentina,1.5,931,2023
Denmark,1.51,924,2023
Portugal,1.51,925,2023
Saint Kitts and Nevis,1.51,915,2023
Cabo Verde,1.52,914,2023
Cayman Islands,1.53,915,2023
Kuwait,1.53,922,2023
Trinidad and Tobago,1.53,915,2023
Liechtenstein,1.54,926,2023
Iceland,1.54,924,2023
Malaysia,1.55,920,2023
Isle of Man,1.55,924,2023
Kosovo (under UNSC res. 1244),1.55,925,2023
Slovakia,1.56,923,2023
United Kingdom,1.56,924,2023
Maldives,1.58,5501,2023
Antigua and Barbuda,1.58,915,2023
Slovenia,1.58,925,2023
Ireland,1.6,924,2023
Aruba,1.6,915,2023
Brazil,1.62,931,2023
United States of America,1.62,905,2023
Türkiye,1.63,922,2023
France,1.64,926,2023
Australia,1.64,927,2023
Saint Helena,1.64,914,2023
Colombia,1.65,931,2023
New Zealand,1.67,927,2023
Azerbaijan,1.67,922,2023
Falkland Islands (Malvinas),1.69,931,2023
Iran (Islamic Republic of),1.7,5501,2023
Romania,1.71,923,2023
Armenia,1.71,922,2023
Barbados,1.71,915,2023
Republic of Moldova,1.73,923,2023
Qatar,1.73,922,2023
Brunei Darussalam,1.75,920,2023
Bulgaria,1.75,923,2023
El Salvador,1.78,916,2023
Saint Vincent and the Grenadines,1.78,915,2023
Dem. People's Republic of Korea,1.78,906,2023
Montenegro,1.8,925,2023
Georgia,1.81,922,2023
Bahrain,1.82,922,2023
Ecuador,1.82,931,2023
Tunisia,1.83,912,2023
Gibraltar,1.89,925,2023
Palau,1.91,954,2023
Mexico,1.91,916,2023
Viet Nam,1.91,920,2023
Philippines,1.92,920,2023
Greenland,1.95,905,2023
Sri Lanka,1.97,5501,2023
Peru,1.98,931,2023
India,1.98,5501,2023
Nepal,1.98,5501,2023
New Caledonia,1.98,928,2023
Belize,2.01,916,2023
Martinique,2.01,915,2023
Cook Islands,2.05,957,2023
Venezuela (Bolivarian Republic of),2.08,931,2023
Guadeloupe,2.09,915,2023
United States Virgin Islands,2.09,915,2023
