ID,NNM_,NMR_
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,-21,-0.0
76,-14,-0.0
77,-9,-0.0
78,-6,-0.0
79,-4,-0.0
80,-2,-0.0
81,-2,-0.0
82,-2,-0.0
83,-3,-0.0
84,-8,-0.0
85,-17,-0.0
86,-26,-0.0
87,-31,-0.0
88,-31,-0.0
89,-1250,-1.8
90,-131,-0.2
91,4,0.0
92,1247,1.6
93,-37,-0.0
94,-73,-0.1
95,-127,-0.2
96,-180,-0.2
97,-216,-0.3
98,-215,-0.2
99,-175,-0.2
100,-115,-0.1
101,-55,-0.1
102,-15,-0.0
103,-10,-0.0
104,-14,-0.0
105,-20,-0.0
106,-28,-0.0
107,-36,-0.0
108,-44,-0.0
109,-52,-0.1
110,-61,-0.1
111,-79,-0.1
112,-169,-0.2
113,-282,-0.3
114,-313,-0.3
115,-11,-0.0
116,-545,-0.5
117,-143,-0.1
118,-373,-0.3
119,-724,-0.6
120,-366,-0.3
121,-251,-0.2
122,-279,-0.2
123,-40,-0.0
124,-96,-0.1
125,-63,-0.0
126,-176,-0.1
127,-761,-0.6
128,-613,-0.5
129,-771,-0.6
130,-104,-0.1
131,-760,-0.6
132,-1042,-0.8
133,-764,-0.6
134,-177,-0.1
135,-184,-0.1
136,-416,-0.3
137,-59,-0.0
138,-189,-0.1
139,-371,-0.3
140,-647,-0.5
141,-153,-0.1
142,-95,-0.1
143,-198,-0.1
144,-656,-0.5
145,-92,-0.1
146,-380,-0.3
147,-294,-0.2
148,-568,-0.4
149,-63,-0.2
150,119,0.3
151,166,0.5
152,-72,-0.2
153,125,0.3
154,70,0.2
155,161,0.4
156,-427,-1.1
157,293,0.7
158,109,0.3
159,147,0.3
160,295,0.7
161,-71,-0.2
162,22,0.0
163,-142,-0.3
164,-248,-0.5
165,-567,-1.1
166,-70,-0.1
167,-995,-1.9
168,-852,-1.6
169,234,0.4
170,-975,-1.7
171,-83,-0.1
172,-405,-0.7
173,348,0.6
174,434,0.7
175,276,0.4
176,591,0.9
177,-210,-0.3
178,774,1.2
179,211,0.3
180,33,0.0
181,-11,-0.0
182,120,0.2
183,-32,-0.0
184,-90,-0.1
185,-250,-0.3
186,-219,-0.3
187,-156,-0.2
188,-3,-0.0
189,126,0.1
190,-158,-0.2
191,35,0.0
192,2,0.0
193,-375,-0.4
194,-57,-0.1
195,-26,-0.0
196,1,0.0
197,-1,-0.0
198,-95,-0.1
199,-144,-0.1
200,-70,-0.1
201,-732,-0.7
202,-607,-0.5
203,-207,-0.2
204,-929,-0.8
205,-342,-0.3
206,-1037,-0.9
207,-1020,-0.8
208,-313,-0.3
209,-51,-0.0
210,-247,-0.2
211,-199,-0.2
212,-151,-0.1
213,-227,-0.2
214,-655,-0.5
215,81,0.1
216,-252,-0.2
217,-590,-0.4
218,-979,-0.7
219,-74,-0.1
220,-349,-0.2
221,-1353,-1.0
222,-979,-0.7
