ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
1,48487,25664,22823,19.4,46.4,44.5,48.4,47.2,45.0,49.5,11.4,10.5,12.1,5.1,4.8,5.3,12546,138.1,82937.226,19962,227,374,391,356,540,581,497,239,269,208,375,426,323
2,48176,25384,22792,19.0,47.1,45.3,49.0,47.6,45.6,49.8,11.4,10.6,12.2,5.1,4.8,5.3,12566,136.0,83687.571,19949,221,363,378,348,528,567,488,230,256,203,365,413,316
3,47383,24850,22533,18.3,48.2,46.5,50.0,48.4,46.5,50.3,11.6,10.7,12.4,5.2,4.8,5.4,12731,132.7,88313.934,19955,214,348,360,337,511,546,475,217,239,196,351,393,307
4,47240,24722,22518,17.9,48.8,47.2,50.5,48.7,46.9,50.5,11.7,10.8,12.4,5.2,4.8,5.4,12672,130.1,88412.166,19847,208,340,350,330,502,536,467,211,231,191,343,384,301
5,46662,24408,22254,17.4,49.7,48.0,51.3,49.2,47.5,51.0,11.8,11.0,12.6,5.3,4.9,5.5,12693,127.7,91211.233,19813,203,330,339,320,489,522,456,203,221,185,332,372,293
6,46636,24437,22199,17.0,50.2,48.5,51.9,49.4,47.6,51.3,11.9,10.9,12.7,5.3,4.9,5.5,12651,124.8,92832.932,19663,198,322,331,313,481,515,447,200,218,181,327,367,287
7,46479,24353,22126,16.6,50.7,49.0,52.5,49.6,47.8,51.5,11.9,11.0,12.7,5.2,4.9,5.5,12415,121.9,93033.973,19318,192,315,324,305,474,507,440,196,214,178,323,363,283
8,46881,24585,22296,16.4,51.1,49.3,52.8,49.7,47.9,51.6,11.9,11.0,12.8,5.3,4.9,5.6,12581,120.0,97066.83,19434,189,310,319,301,469,503,435,194,212,176,321,361,281
9,46518,24414,22104,16.0,51.6,49.9,53.4,50.1,48.2,52.0,12.1,11.1,13.0,5.4,5.0,5.7,12379,117.7,95974.179,19125,184,304,313,295,462,496,427,191,209,173,315,355,275
10,50725,26607,24117,17.1,49.6,47.8,51.4,49.3,47.3,51.3,11.9,10.8,12.8,5.3,4.9,5.6,12970,125.7,92970.83,20974,202,330,340,319,491,526,455,203,224,182,333,375,290
11,54612,28637,25976,18.1,47.8,46.1,49.6,48.5,46.5,50.6,11.7,10.6,12.5,5.2,4.9,5.5,13515,131.8,92877.842,22432,216,352,363,342,516,552,480,215,238,191,349,394,304
12,49919,26207,23712,16.3,50.3,48.6,52.2,49.6,47.6,51.6,12.0,11.0,13.0,5.4,5.0,5.7,12299,121.5,92308.705,19704,194,320,331,310,481,516,445,199,220,178,327,370,284
13,46061,24225,21837,14.7,53.2,51.4,55.1,50.8,48.8,52.8,12.3,11.2,13.3,5.5,5.0,5.8,11950,110.2,103342.138,17939,170,283,292,273,439,473,404,180,197,162,301,340,261
14,46913,24680,22233,14.7,53.7,51.9,55.6,51.0,49.0,53.0,12.4,11.3,13.4,5.5,5.1,5.8,12661,107.7,110709.443,18611,166,277,286,267,432,466,397,177,194,159,296,336,257
15,46823,24649,22174,14.3,54.3,52.4,56.2,51.3,49.3,53.4,12.6,11.4,13.6,5.7,5.2,6.0,12532,106.1,108526.65,18577,162,271,280,261,425,459,390,173,190,156,291,330,252
16,48214,25472,22741,14.5,54.0,52.0,56.1,51.1,48.9,53.3,12.5,11.3,13.6,5.6,5.1,5.9,12527,106.4,109007.369,18912,163,274,286,262,429,466,391,176,197,156,295,338,253
17,47842,25189,22652,14.1,54.6,52.6,56.6,51.5,49.4,53.6,12.7,11.4,13.7,5.7,5.2,6.0,12312,104.9,108572.593,18635,160,267,277,257,420,455,385,170,188,152,288,328,248
18,47569,25051,22518,13.7,55.1,53.1,57.1,51.8,49.7,54.0,12.8,11.5,13.8,5.8,5.3,6.1,12082,103.1,108428.977,18318,156,261,271,251,413,448,377,166,184,147,282,322,242
19,47629,25077,22552,13.4,55.6,53.6,57.7,52.0,49.9,54.2,12.8,11.5,13.8,5.7,5.2,6.0,12059,100.2,113228.262,18030,151,254,264,243,404,440,369,162,180,143,277,317,238
20,47816,25174,22642,13.2,56.0,54.0,58.1,52.2,50.0,54.4,12.8,11.6,13.9,5.8,5.3,6.1,12018,98.3,113761.055,17878,148,249,259,238,399,434,363,159,177,140,274,314,234
21,48163,25305,22859,13.0,56.3,54.3,58.3,52.4,50.3,54.5,12.9,11.7,14.0,5.9,5.3,6.2,11981,96.9,115654.159,17854,146,247,256,237,395,430,361,157,175,139,271,310,233
22,49384,26259,23125,13.1,56.0,53.7,58.4,52.0,49.5,54.6,13.0,11.7,14.1,5.9,5.3,6.2,11919,96.1,115325.406,17892,145,252,267,235,402,443,359,165,191,137,279,326,231
23,47770,25127,22643,12.4,57.2,55.1,59.3,52.9,50.7,55.1,13.2,11.9,14.2,6.0,5.4,6.3,11570,93.6,115352.045,17202,140,236,246,225,382,417,346,150,169,131,262,300,223
