ID,TP1_JAN,TP1_JULY,MP1_,FP1_,PD1_,PSR_,MA1_,NCB_,RNC_,PC_,PGR_,PAD_
1,2471424,2493093,1241432,1251661,19.1,99.2,22.2,43337,17.4,43338,1.74,39.9
2,2514762,2536927,1263362,1273565,19.5,99.2,22.1,44331,17.5,44331,1.75,39.7
3,2559092,2584086,1287093,1296993,19.8,99.2,22.1,49988,19.3,49988,1.94,35.8
4,2609080,2634106,1312355,1321751,20.2,99.3,22.0,50052,19.0,50052,1.9,36.5
5,2659132,2685895,1338531,1347364,20.6,99.3,21.9,53525,19.9,53525,1.99,34.8
6,2712658,2740214,1365979,1374235,21.0,99.4,21.8,55112,20.1,55112,2.01,34.5
7,2767770,2795410,1393816,1401594,21.4,99.4,21.7,55280,19.8,55280,1.98,35.0
8,2823050,2852618,1422614,1430005,21.9,99.5,21.6,59137,20.7,59137,2.07,33.4
9,2882187,2911250,1452096,1459154,22.3,99.5,21.5,58126,20.0,58126,2.0,34.7
10,2940313,2965950,1479589,1486362,22.7,99.5,21.5,51275,17.3,51275,1.73,40.1
11,2991588,3015471,1504457,1511014,23.1,99.6,21.5,47766,15.8,47766,1.58,43.8
12,3039354,3064870,1529295,1535575,23.5,99.6,21.4,51032,16.7,51032,1.67,41.6
13,3090386,3123374,1558850,1564524,24.0,99.6,21.4,65977,21.1,65977,2.11,32.8
14,3156363,3192808,1594017,1598791,24.5,99.7,21.2,72890,22.8,72890,2.28,30.4
15,3229253,3264487,1630340,1634147,25.0,99.8,21.0,70469,21.6,70469,2.16,32.1
16,3299722,3334534,1665745,1668789,25.6,99.8,20.8,69623,20.9,69623,2.09,33.2
17,3369345,3404041,1700737,1703304,26.1,99.8,20.6,69391,20.4,69391,2.04,34.0
18,3438737,3473413,1735618,1737795,26.6,99.9,20.5,69351,20.0,69352,2.0,34.7
19,3508089,3545187,1771695,1773492,27.2,99.9,20.4,74197,20.9,74197,2.09,33.1
20,3582286,3619492,1809131,1810361,27.8,99.9,20.3,74412,20.6,74412,2.06,33.7
21,3656698,3694684,1847019,1847665,28.3,100.0,20.3,75972,20.6,75972,2.06,33.7
22,3732670,3769848,1884860,1884988,28.9,100.0,20.3,74356,19.7,74356,1.97,35.1
23,3807026,3844918,1922850,1922068,29.5,100.0,20.4,75784,19.7,75784,1.97,35.2
24,3882810,3920805,1961395,1959410,30.1,100.1,20.4,75991,19.4,75991,1.94,35.8
25,3958800,3996416,1999751,1996665,30.6,100.2,20.5,75231,18.8,75231,1.88,36.8
26,4034032,4070735,2037388,2033348,31.2,100.2,20.7,73407,18.0,73407,1.8,38.4
27,4107439,4144246,2074548,2069699,31.8,100.2,20.8,73615,17.8,73615,1.78,39.0
28,4181054,4217864,2111748,2106116,32.3,100.3,21.0,73620,17.5,73620,1.75,39.7
29,4254674,4292098,2149212,2142885,32.9,100.3,21.1,74848,17.4,74848,1.74,39.7
30,4329521,4368540,2187840,2180699,33.5,100.3,21.3,78036,17.9,78036,1.79,38.8
31,4407558,4447606,2227983,2219623,34.1,100.4,21.5,80097,18.0,80097,1.8,38.5
32,4487655,4528777,2269262,2259516,34.7,100.4,21.6,82245,18.2,82245,1.82,38.2
33,4569900,4612673,2311809,2300864,35.4,100.5,21.7,85547,18.5,85547,1.86,37.4
34,4655447,4697328,2354687,2342640,36.0,100.5,21.8,83761,17.8,83761,1.78,38.9
35,4739208,4782176,2397609,2384567,36.7,100.5,21.9,85935,18.0,85935,1.8,38.6
36,4825143,4868943,2441487,2427456,37.3,100.6,22.0,87601,18.0,87601,1.8,38.5
37,4912744,4958073,2486673,2471400,38.0,100.6,22.2,90658,18.3,90658,1.83,37.9
38,5003402,5049746,2533271,2516476,38.7,100.7,22.4,92690,18.4,92689,1.84,37.8
39,5096091,5141993,2580079,2561914,39.4,100.7,22.6,91803,17.9,91803,1.79,38.8
40,5187894,5234432,2627005,2607427,40.1,100.8,22.8,93071,17.8,93076,1.78,39.0
41,5280970,5327803,2674705,2653098,40.9,100.8,22.9,93667,17.6,93667,1.76,39.4
42,5374637,5418736,2721137,2697599,41.6,100.9,23.1,88198,16.3,88198,1.63,42.6
43,5462835,5505990,2765447,2740543,42.2,100.9,23.3,86309,15.7,86309,1.57,44.2
44,5549145,5591545,2809184,2782361,42.9,101.0,23.5,84800,15.2,84800,1.52,45.7
45,5633945,5675551,2851675,2823876,43.5,101.0,23.8,83212,14.7,83212,1.47,47.3
46,5717157,5758879,2893336,2865543,44.2,101.0,24.0,83443,14.5,83443,1.45,47.8
47,5800600,5842056,2935092,2906963,44.8,101.0,24.2,82910,14.2,82910,1.42,48.8
48,5883511,5924788,2976691,2948097,45.4,101.0,24.4,82554,13.9,82554,1.39,49.8
49,5966065,6007067,3018501,2988566,46.1,101.0,24.7,82004,13.7,82004,1.37,50.8
50,6048069,6089006,3060198,3028809,46.7,101.0,24.9,81875,13.4,81875,1.35,51.5
